T_ID,T_NAME,T_X,T_Y,T_TYPE,T_VALUE,T_REGION,T_OWNER,T_ARMIES_1,T_ARMIES_2,T_ARMIES_3,T_NEIGHBOUR1,T_NEIGHBOUR2,...
1,North-West 1,NW1,0,0,1,0,1,1,5,0,0,2,3
2,North-West 2,NW2,100,0,0,0,1,1,3,0,0,1,4,17
3,North-West 3,NW3,0,100,0,0,1,1,3,0,0,1,4,20
4,North-West 4,NW4,100,100,0,0,1,0,3,0,0,2,3,17,20
5,North-East 1,NE1,300,0,0,0,2,2,2,0,0,6,7,17
6,North-East 2,NE2,400,0,1,0,2,2,5,0,0,5,8
7,North-East 3,NE3,300,100,0,0,2,0,3,0,0,5,8,17,18
8,North-East 4,NE4,400,100,0,0,2,2,2,0,0,6,7,18
9,South-West 1,SW1,0,300,0,0,3,3,2,0,0,10,11,20
10,South-West 2,SW2,100,300,0,0,3,0,3,0,0,9,12,19,20
11,South-West 3,SW3,0,400,1,0,3,3,5,0,0,9,12
12,South-West 4,SW4,100,400,0,0,3,3,2,0,0,10,11,19
13,South-East 1,SE1,300,300,0,0,4,0,3,0,0,14,15,18,19
14,South-East 2,SE2,400,300,0,0,4,4,2,0,0,13,16,18
15,South-East 3,SE3,300,400,0,0,4,4,2,0,0,13,16,19
16,South-East 4,SE4,400,400,1,0,4,4,5,0,0,14,15
17,North Bridge,NB,200,50,0,0,5,0,10,0,0,2,4,5,7
18,East Bridge,EB,350,200,0,0,5,0,10,0,0,7,8,13,14
19,South Bridge,SB,200,350,0,0,5,0,10,0,0,10,12,13,15
20,West Bridge,WB,50,200,0,0,5,0,10,0,0,3,4,9,10
